event_group_id,origin_time_utc,location_name,latitude,longitude,initial_magnitude,max_magnitude,initial_depth_km,final_depth_km,coastal_proximity_index,first_bulletin_delay_min,final_bulletin_delay_min,bulletin_count,max_bulletin_number,danger_tier,danger_label,target_alert_level,confirmed_threat_flag,potential_threat_flag,no_threat_flag,sea_level_confirmed_flag,observed_max_wave_m,wave_height_source,has_threat_assessment,training_weight
20120411085800,2012-04-11T08:38:00+00:00,Off West Coast of Northern Sumatra,2.33,93.04,8.3,8.3,10.0,10.0,0.75,20.0,628.0,4,4,2,confirmed_threat,4,True,True,False,True,0.8,observed,True,6
20120725113100,2012-07-25T11:20:00+00:00,SolomonIslands,-9.74,159.79,6.8,6.8,43.0,43.0,0.39999999999999997,11.0,11.0,1,1,1,potential_threat,2,False,True,False,False,,imputed,False,3
20120814031100,2012-08-14T02:59:00+00:00,SeaofOkhotsk,49.59,145.1,7.2,7.2,498.0,498.0,0.5,12.0,12.0,1,1,1,potential_threat,2,False,True,False,False,,imputed,False,3
20120826151500,2012-08-26T15:05:00+00:00,NorthernMoluccaSea,2.2,126.92,6.8,6.8,88.0,88.0,0.55,10.0,10.0,1,1,1,potential_threat,2,False,True,False,False,,imputed,False,3
20120831125800,2012-08-31T12:47:00+00:00,Philippine Islands Region,10.49,126.92,7.7,7.7,90.0,90.0,0.35,11.0,11.0,1,1,1,potential_threat,2,False,True,False,False,,imputed,False,3
20120903183400,2012-09-03T18:23:00+00:00,"SouthofJava,Indonesia",-11.07,113.86,6.5,6.5,10.0,10.0,0.44999999999999996,11.0,11.0,1,1,1,potential_threat,2,False,True,False,False,,imputed,False,3
20120905152700,2012-09-05T14:42:00+00:00,CostaRica,10.12,-84.81,8.0,8.0,10.0,10.0,0.35,45.0,45.0,1,1,1,potential_threat,2,False,True,False,False,,imputed,False,3
20120930171100,2012-09-30T16:31:00+00:00,Colombia,1.91,-76.61,7.1,7.1,201.0,201.0,0.39999999999999997,40.0,40.0,1,1,1,potential_threat,2,False,True,False,False,,imputed,False,3
20121012004300,2012-10-12T00:31:00+00:00,"IrianJayaRegion,Indonesia",-4.92,134.07,7.0,7.0,22.0,22.0,0.49999999999999994,12.0,12.0,1,1,1,potential_threat,2,False,True,False,False,,imputed,False,3
20121020231600,2012-10-20T23:00:00+00:00,VanuatuIslands,-13.6,166.6,6.7,6.7,64.0,64.0,0.35,16.0,16.0,1,1,1,potential_threat,2,False,True,False,False,,imputed,False,3
