event_group_id,origin_time_utc,location_name,latitude,longitude,initial_magnitude,max_magnitude,initial_depth_km,final_depth_km,coastal_proximity_index,first_bulletin_delay_min,final_bulletin_delay_min,bulletin_count,max_bulletin_number,danger_tier,danger_label,target_alert_level,confirmed_threat_flag,potential_threat_flag,no_threat_flag,sea_level_confirmed_flag,observed_max_wave_m,wave_height_source,has_threat_assessment,training_weight,noaa_event_id,noaa_eq_magnitude,noaa_eq_depth_km,noaa_max_event_runup_m,noaa_tsunami_intensity,noaa_deaths_total,noaa_num_runup,noaa_event_validity,noaa_country,noaa_region,noaa_cause,noaa_url,noaa_match_minutes,noaa_match_km,usgs_event_id,usgs_magnitude,usgs_depth_km,usgs_tsunami_flag,usgs_significance,usgs_mmi,usgs_felt,usgs_status,usgs_place,usgs_url,usgs_match_minutes,usgs_match_km,data_source,is_synthetic,external_wave_proxy_m,external_deaths_total,time_split
synthetic_confirmed_threat_0000,2014-10-13T08:20:16.788144+00:00,"San Juan Province, Argentina",-31.86,-68.69,6.5958871311757115,6.653664048076594,21.880493531773723,36.95657655825018,0.34955792600884494,414.6135325206466,428.76586158234096,1,1,2,confirmed_threat,4,True,False,True,False,,imputed,False,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0001,2019-04-24T11:09:17.828191+00:00,"Southwest of Sumatra, Indonesia",-7.58,104.53,6.910365342226109,6.973937828915478,88.69484005475913,88.12517399618855,0.4802234734662142,419.63734315680136,433.9359394583665,2,2,2,confirmed_threat,4,True,False,True,False,,imputed,False,4.5,5870.0,6.9,49.0,,,8.0,6.0,Questionable Tsunami,INDONESIA,Indian Ocean (including W. Australia and W. Indonesia),Earthquake,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/5870,0.0666666666666666,43.8882576658427,us60004zhq,6.93564758581987,35.290257984784475,0.0,818.7465539867179,5.7668468795049,332.0,reviewed,"152 km SW of Labuan, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us60004zhq,0.0666833333333333,43.849774125506336,synthetic_bootstrap,1,,8.0,train
synthetic_confirmed_threat_0002,2018-12-24T22:18:32.183173+00:00,"Southwest of Sumatra, Indonesia",-5.69,101.56,6.698730794811249,6.698730794811249,6.337661273472007,23.756918002787348,0.49215030850617003,426.1883763158615,426.1883763158615,1,1,2,confirmed_threat,4,True,False,True,False,,imputed,False,4.5,,,,,,,,,,,,,,,us6000dg70,6.173317140026188,-11.229779869593191,0.0,664.8086524441127,4.6867791426276755,1.0,reviewed,"219 km SSW of Bengkulu, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us6000dg70,0.0129333333333333,9.91502804525168,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0003,2014-06-20T03:16:27.076897+00:00,"Southern Sumatra, Indonesia",-3.75,101.56,6.603068508629657,6.603068508629657,11.111536250774899,2.7268687292240177,0.48619594031180335,415.6134935001257,430.040751180191,1,1,2,confirmed_threat,4,True,False,True,False,,imputed,False,4.5,,,,,,,,,,,,,,,us2000a7q2,6.214255146927707,3.9911582808523356,0.0,611.1477058922153,5.027807527035318,27.0,reviewed,"71 km W of Bengkulu, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us2000a7q2,0.0093333333333333,7.255950841865256,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0004,2016-11-14T14:31:18.990999+00:00,"Southwest of Sumatra, Indonesia",-4.5,100.91,6.714306146757627,6.722735241401589,5.895750083389222,20.34662631758219,0.5025207769279123,428.03092999653506,443.91827782855336,2,2,2,confirmed_threat,4,True,False,True,False,,imputed,False,4.5,,,,,,,,,,,,,,,us6000bgvl,6.773549935105618,4.185127341764073,0.0,813.5399163650976,4.10023926503554,10.0,reviewed,"138 km WSW of Bengkulu, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us6000bgvl,0.0582833333333333,31.837944305108252,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0005,2014-06-03T00:02:24.544330+00:00,"Java, Indonesia",-9.0,112.47,6.603278101731678,6.603278101731678,57.930865219251146,58.88735015986738,0.513380015712117,0.5,19.282998124025962,1,1,2,confirmed_threat,4,True,False,False,False,,imputed,True,4.5,,,,,,,,,,,,,,,us6000e0iy,5.953254473795726,67.83607671147632,0.0,587.0339777355782,5.889040398641315,126.0,reviewed,"45 km S of Sumberpucung, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us6000e0iy,0.0085833333333333,47.89422634907327,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0006,2020-07-09T10:59:42.411226+00:00,South of Fiji Islands,-23.15,-178.72,6.538672791047293,6.538672791047293,399.79825007503615,420.62202726401125,0.35756650040880067,441.2770298251621,441.3106658039168,1,1,2,confirmed_threat,4,True,False,True,False,,imputed,True,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0007,2015-04-05T00:17:48.010363+00:00,"Southern Sumatra, Indonesia",-3.75,101.56,6.729973484274709,6.729973484274709,1.0,35.959399318330966,0.4849897453806332,447.45888002352774,452.2821311040424,1,1,2,confirmed_threat,4,True,False,True,False,,imputed,True,4.5,,,,,,,,,,,,,,,us2000a7q2,6.443128052524651,23.127175467132872,0.0,732.2565190820457,4.846436887402801,27.0,reviewed,"71 km W of Bengkulu, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us2000a7q2,0.0093333333333333,7.255950841865256,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0008,2020-04-07T23:27:58.903291+00:00,"Southwest of Sumatra, Indonesia",-7.58,104.53,7.067352922574201,7.067352922574201,78.0235216860076,66.14677818012284,0.5353078107128687,443.26291483394226,443.26291483394226,2,2,2,confirmed_threat,4,True,False,True,False,,imputed,False,4.5,5870.0,6.9,49.0,,,8.0,6.0,Questionable Tsunami,INDONESIA,Indian Ocean (including W. Australia and W. Indonesia),Earthquake,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/5870,0.0666666666666666,43.8882576658427,us60004zhq,7.028935862068009,37.02670714731121,0.0,859.6229181991057,5.984814138924633,332.0,reviewed,"152 km SW of Labuan, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us60004zhq,0.0666833333333333,43.849774125506336,synthetic_bootstrap,1,,8.0,train
synthetic_confirmed_threat_0009,2015-09-11T01:17:40.605771+00:00,Mid Indian Ridge,-37.02,77.44,6.5159361435793315,6.532888472791374,1.0,17.65499672114373,0.33796678116267265,469.91173500920524,469.91173500920524,1,1,2,confirmed_threat,4,True,False,True,False,,imputed,True,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0010,2016-04-06T16:25:16.794551+00:00,"Mindanao, Philippines",5.45,125.0,7.139490170118694,7.139490170118694,5.159286925008413,27.279819887912215,0.38767289140417527,397.8495405809698,435.0306706147112,1,1,2,confirmed_threat,4,True,False,True,False,,noaa_runup_proxy,False,4.5,5648.0,6.9,26.0,0.2161394878915317,,,1.0,Definite Tsunami,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/5648,0.005,9.456353275133372,us10008ls4,6.837036189971752,34.5305709865526,1.0,785.5421174378669,6.141096541764471,115.0,reviewed,"31 km SW of Burias, Philippines",https://earthquake.usgs.gov/earthquakes/eventpage/us10008ls4,0.0043333333333333,9.46051547194296,synthetic_bootstrap,1,0.2668345750176196,,train
synthetic_confirmed_threat_0011,2014-12-03T18:01:10.506774+00:00,"Southwest of Sumatra, Indonesia",-5.16,94.05,8.390917611396096,8.390917611396096,1.0,21.972168053809536,0.5129926167147306,430.3367797275228,590.5830875084135,4,4,2,confirmed_threat,4,True,False,False,False,0.09942494314473152,synthetic_bootstrap,False,4.5,5598.0,7.8,24.0,0.21872041352560223,,,13.0,Definite Tsunami,INDONESIA,Indian Ocean (including W. Australia and W. Indonesia),Earthquake,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/5598,0.1183333333333333,38.68800456679281,us10004u1y,7.787929488779495,30.729621247636565,0.0,1035.0177893905473,3.0044987043353784,31.0,reviewed,"southwest of Sumatra, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us10004u1y,0.1185,38.6724762332463,synthetic_bootstrap,1,0.25562299026474666,,train
synthetic_confirmed_threat_0012,2018-04-18T15:46:26.554623+00:00,"Southwest of Sumatra, Indonesia",-7.58,104.53,6.98764183761709,6.98764183761709,83.21917727479374,68.37051055524536,0.4882334358120583,429.1303936822925,455.8644782839459,2,2,2,confirmed_threat,4,True,False,True,False,,imputed,True,4.5,5870.0,6.9,49.0,,,8.0,6.0,Questionable Tsunami,INDONESIA,Indian Ocean (including W. Australia and W. Indonesia),Earthquake,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/5870,0.0666666666666666,43.8882576658427,us60004zhq,6.925773727249868,90.43312844924806,0.0,852.6657268610724,5.365011222878972,332.0,reviewed,"152 km SW of Labuan, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us60004zhq,0.0666833333333333,43.849774125506336,synthetic_bootstrap,1,,8.0,train
synthetic_confirmed_threat_0013,2015-11-28T19:58:48.542222+00:00,"Java, Indonesia",-9.0,112.47,6.7197639828152465,6.7197639828152465,52.70272386142277,41.893029603667486,0.5075443742951302,5.031303157058683,29.148806447481725,1,1,2,confirmed_threat,4,True,False,True,False,,imputed,False,4.5,,,,,,,,,,,,,,,us6000e0iy,6.015347006942402,49.965900697279054,0.0,661.451858398612,5.913051470505536,126.0,reviewed,"45 km S of Sumberpucung, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us6000e0iy,0.0085833333333333,47.89422634907327,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0014,2015-03-21T11:29:39.441932+00:00,Northern Peru,-5.78,-75.15,7.741606638503423,7.741606638503423,123.09596533684513,135.24243466518246,0.3863873993103481,422.6637636756059,425.3956942877842,1,1,2,confirmed_threat,4,True,False,True,False,,imputed,True,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0015,2019-01-09T19:03:30.771374+00:00,Northern Peru,-5.78,-75.15,7.781658007305199,7.781658007305199,106.92917482820958,90.72382511543073,0.3674112815360394,419.4628303179677,474.27150358821075,1,1,2,confirmed_threat,4,True,False,False,False,,imputed,True,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0016,2017-01-27T03:42:48.173842+00:00,"Kamchatka Peninsula, Russia",56.5,160.53,6.963449773573049,6.963449773573049,62.77584632239382,34.769513915256205,0.34173141135041263,428.8653481064786,432.82455570465453,1,1,2,confirmed_threat,4,True,False,True,False,,imputed,True,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0017,2015-06-09T18:00:05.827908+00:00,"Southwest of Sumatra, Indonesia",-5.69,101.56,6.5,6.5,3.0821665261662314,26.635567001048845,0.495717516127278,457.1114976905407,457.1114976905407,1,1,2,confirmed_threat,4,True,True,False,False,,imputed,True,4.5,,,,,,,,,,,,,,,us6000dg70,6.25376535917427,11.241149499827998,0.0,633.5417835271642,4.31763640397599,1.0,reviewed,"219 km SSW of Bengkulu, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us6000dg70,0.0129333333333333,9.91502804525168,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0018,2019-12-18T06:35:41.230390+00:00,"South of Sumbawa, Indonesia",-10.65,118.97,6.700269854182639,6.700269854182639,16.878831632741143,1.0,0.4498537239418109,441.4041311110721,441.4041311110721,2,2,2,confirmed_threat,4,True,False,False,False,,imputed,True,4.5,,,,,,,,,,,,,,,us2000j73a,6.245875702999437,24.28414229356064,0.0,607.9131721492354,4.384976559949196,1.0,reviewed,"160 km WSW of Waingapu, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us2000j73a,0.0246666666666666,26.64250863606316,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0019,2018-09-13T06:33:53.780096+00:00,"Southwest of Sumatra, Indonesia",-5.16,94.05,8.286689686180855,8.286689686180855,1.0,1.0,0.49234000223155117,451.02120033666455,611.2513514257371,4,4,2,confirmed_threat,4,True,False,True,True,0.03599960822978747,synthetic_bootstrap,False,4.5,5598.0,7.8,24.0,0.2846315989269932,,,13.0,Definite Tsunami,INDONESIA,Indian Ocean (including W. Australia and W. Indonesia),Earthquake,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/5598,0.1183333333333333,38.68800456679281,us10004u1y,7.7507203260257125,-10.518296261308897,0.0,915.2532827267794,2.8494352570777135,31.0,reviewed,"southwest of Sumatra, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us10004u1y,0.1185,38.6724762332463,synthetic_bootstrap,1,0.23337597566695356,,train
synthetic_confirmed_threat_0020,2020-08-20T04:48:51.614507+00:00,"Southern Sumatra, Indonesia",-3.74,101.56,6.736598983255854,6.814923221574317,43.04177935081254,68.70146338981044,0.4687687169638959,455.18593451104704,457.6790553051237,2,2,2,confirmed_threat,4,True,False,True,False,,imputed,True,4.5,,,,,,,,,,,,,,,us6000bgvu,7.076387353321125,13.60473864919508,0.0,657.2687149497223,4.7289675655929555,8.0,reviewed,"122 km WSW of Bengkulu, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us6000bgvu,0.17115,62.82306040794155,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0021,2019-08-07T00:25:48.138058+00:00,"Java, Indonesia",-9.0,112.47,6.592349664853199,6.592349664853199,68.88446874259238,38.205756721233804,0.500416986510563,8.105257158411998,20.938495183061594,1,1,2,confirmed_threat,4,True,False,False,True,,imputed,True,4.5,,,,,,,,,,,,,,,us6000e0iy,5.976982990203337,78.94457468703098,0.0,615.3068298919244,5.432017201152921,126.0,reviewed,"45 km S of Sumberpucung, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us6000e0iy,0.0085833333333333,47.89422634907327,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0022,2016-09-07T11:26:20.670731+00:00,"Kamchatka Peninsula, Russia",56.5,160.53,6.852582475354169,6.879889196090991,1.0,29.890274478064843,0.3732597104862949,443.894742962164,443.894742962164,1,1,2,confirmed_threat,4,True,True,False,False,,imputed,False,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0023,2018-11-24T01:40:01.711796+00:00,Banda Sea,-7.36,123.08,6.5610087660922645,6.5610087660922645,541.5106806777538,584.4827216900028,0.5491967082658615,397.2507719995044,439.10105497523614,1,1,2,confirmed_threat,4,True,False,True,False,,imputed,True,4.5,,,,,,,,,,,,,,,us1000aw8q,6.6320387738559035,527.5668164823259,0.0,658.1523264268212,2.8518497816178483,11.0,reviewed,"181 km NNE of Maumere, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us1000aw8q,0.031,15.939244890528936,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0024,2017-01-14T23:20:23.037649+00:00,"Southwest of Sumatra, Indonesia",-5.69,101.56,6.562529265321169,6.562529265321169,10.1129053323761,28.176294031017875,0.5090030501291706,441.2012490717623,443.95062077043616,1,1,2,confirmed_threat,4,True,False,False,True,,imputed,False,4.5,,,,,,,,,,,,,,,us6000dg70,6.339790744374777,12.175684411047348,0.0,670.1789645050776,4.05078805225151,1.0,reviewed,"219 km SSW of Bengkulu, Indonesia",https://earthquake.usgs.gov/earthquakes/eventpage/us6000dg70,0.0129333333333333,9.91502804525168,synthetic_bootstrap,1,,,train
synthetic_confirmed_threat_0025,2021-02-27T16:51:07.782706+00:00,South Sandwich Islands Region,-56.52,-25.98,6.606358576061465,6.6293267173304935,45.03957795976839,1.0,0.3604554493383301,454.6155247155646,454.6155247155646,1,1,2,confirmed_threat,4,True,False,True,False,,imputed,True,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,synthetic_bootstrap,1,,,train
