algorithm,split,runs,episode_count,no_threat_event_count,potential_event_count,severe_event_count,avg_return_mean,avg_return_ci95,median_return_mean,median_return_ci95,severe_miss_rate_mean,severe_miss_rate_ci95,false_warning_rate_mean,false_warning_rate_ci95,avg_alert_changes_mean,avg_alert_changes_ci95,avg_invalid_actions_mean,avg_invalid_actions_ci95,avg_warning_step_on_severe_mean,avg_warning_step_on_severe_ci95,avg_watch_step_on_potential_mean,avg_watch_step_on_potential_ci95,safety_score_mean,safety_score_ci95
q_learning_pure,validation,3,64,35,23,6,-0.5229166666666664,2.1458331892192515,13.800000000000002,2.4619049752161592e-15,0.3333333333333333,0.0,0.009523809523809523,0.01866666666666667,1.5208333333333333,0.13270833333333334,0.0,0.0,5.0,0.7484873635094539,5.071010860484544,0.3274853801169593,-100.99910714285714,3.0567939029060756
q_learning_pure,test,3,70,37,25,8,-11.933333333333339,0.7653760150700083,13.466666666666669,0.3266666666666667,0.5416666666666666,0.08166666666666668,0.018018018018018018,0.03531531531531532,1.6380952380952378,0.11694633147065558,0.0,0.0,4.25,0.49,4.590909090909091,0.1360886115471735,-175.33423423423423,23.344969480701103
q_learning_safe,validation,3,64,35,23,6,20.242708333333336,2.0032732519025442,13.800000000000002,2.4619049752161592e-15,0.0,0.0,0.0,0.0,1.3645833333333333,0.17173074754620324,0.0,0.0,4.0,0.0,4.956521739130435,0.0,20.242708333333336,2.0032732519025442
q_learning_safe,test,3,70,37,25,8,20.202380952380953,0.34124152411126285,13.800000000000002,2.4619049752161592e-15,0.0,0.0,0.0,0.0,1.4714285714285715,0.04849742261192852,0.0,0.0,3.875,0.0,4.933333333333334,0.052266666666666704,20.202380952380953,0.34124152411126285
sarsa_pure,validation,3,64,35,23,6,0.5916666666666667,1.7226014265967609,13.800000000000002,2.4619049752161592e-15,0.3333333333333333,0.0,0.0,0.0,1.5625,0.16866934801063688,0.0,0.0,5.0,0.7484873635094539,4.827192982456141,0.36549951568776406,-99.40833333333335,1.7226014265967604
sarsa_pure,test,3,70,37,25,8,-7.1714285714285735,2.1807818169943887,13.716666666666669,0.16333333333333333,0.4166666666666667,0.08166666666666668,0.018018018018018018,0.017657657657657658,1.723809523809524,0.05677245028278331,0.0,0.0,4.283333333333333,0.11778134166515714,4.735177865612648,0.19695355643061888,-133.07232947232947,25.445990207581772
sarsa_safe,validation,3,64,35,23,6,20.083854166666672,1.2713474071239121,13.800000000000002,2.4619049752161592e-15,0.0,0.0,0.0,0.0,1.3802083333333333,0.11504207412700992,0.0,0.0,4.0,0.0,4.956521739130435,0.0,20.083854166666672,1.2713474071239121
sarsa_safe,test,3,70,37,25,8,20.171428571428574,0.709087676760311,13.800000000000002,2.4619049752161592e-15,0.0,0.0,0.0,0.0,1.4476190476190478,0.09333333333333343,0.0,0.0,3.875,0.0,4.933333333333334,0.052266666666666704,20.171428571428574,0.709087676760311
rule_based,validation,3,64,35,23,6,20.260937500000004,1.6246410961828617,13.800000000000002,2.4619049752161592e-15,0.0,0.0,0.0,0.0,1.328125,0.13809577368020112,0.0,0.0,3.9444444444444446,0.1088888888888888,4.91304347826087,0.08521739130434763,20.260937500000004,1.6246410961828617
rule_based,test,3,70,37,25,8,20.4,0.25978709231471375,13.800000000000002,2.4619049752161592e-15,0.0,0.0,0.0,0.0,1.438095238095238,0.024693678903269425,0.0,0.0,3.875,0.0,4.96,0.0,20.4,0.25978709231471375
ppo_lstm_pure,validation,1,64,35,23,6,18.776562500000004,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.921875,0.0,0.0,0.0,4.0,0.0,4.3478260869565215,0.0,18.776562500000004,0.0
ppo_lstm_pure,test,1,70,37,25,8,18.028571428571425,0.0,13.8,0.0,0.0,0.0,0.0,0.0,1.0857142857142856,0.0,0.0,0.0,3.875,0.0,3.48,0.0,18.028571428571425,0.0
