algorithm,split,runs,episode_count,no_threat_event_count,potential_event_count,severe_event_count,avg_return_mean,avg_return_ci95,median_return_mean,median_return_ci95,severe_miss_rate_mean,severe_miss_rate_ci95,false_warning_rate_mean,false_warning_rate_ci95,avg_alert_changes_mean,avg_alert_changes_ci95,avg_invalid_actions_mean,avg_invalid_actions_ci95,avg_warning_step_on_severe_mean,avg_warning_step_on_severe_ci95,avg_watch_step_on_potential_mean,avg_watch_step_on_potential_ci95,safety_score_mean,safety_score_ci95,result_source
q_learning_pure,validation,3,64,35,23,6,-0.5229166666666664,2.1458331892192515,13.800000000000002,2.4619049752161592e-15,0.3333333333333333,0.0,0.0095238095238095,0.0186666666666666,1.5208333333333333,0.1327083333333333,0.0,0.0,5.0,0.7484873635094539,5.071010860484544,0.3274853801169593,-100.99910714285714,3.056793902906076,local
q_learning_pure,test,3,70,37,25,8,-11.93333333333334,0.7653760150700083,13.466666666666669,0.3266666666666667,0.5416666666666666,0.0816666666666666,0.018018018018018,0.0353153153153153,1.6380952380952378,0.1169463314706555,0.0,0.0,4.25,0.49,4.590909090909091,0.1360886115471735,-175.33423423423423,23.344969480701103,local
q_learning_safe,validation,3,64,35,23,6,20.242708333333336,2.003273251902544,13.800000000000002,2.4619049752161592e-15,0.0,0.0,0.0,0.0,1.3645833333333333,0.1717307475462032,0.0,0.0,4.0,0.0,4.956521739130435,0.0,20.242708333333336,2.003273251902544,local
q_learning_safe,test,3,70,37,25,8,20.20238095238096,0.3412415241112628,13.800000000000002,2.4619049752161592e-15,0.0,0.0,0.0,0.0,1.4714285714285715,0.0484974226119285,0.0,0.0,3.875,0.0,4.933333333333334,0.0522666666666667,20.20238095238096,0.3412415241112628,local
sarsa_pure,validation,3,64,35,23,6,0.5916666666666667,1.7226014265967609,13.800000000000002,2.4619049752161592e-15,0.3333333333333333,0.0,0.0,0.0,1.5625,0.1686693480106368,0.0,0.0,5.0,0.7484873635094539,4.827192982456141,0.365499515687764,-99.40833333333336,1.7226014265967604,local
sarsa_pure,test,3,70,37,25,8,-7.1714285714285735,2.1807818169943887,13.716666666666669,0.1633333333333333,0.4166666666666667,0.0816666666666666,0.018018018018018,0.0176576576576576,1.723809523809524,0.0567724502827833,0.0,0.0,4.283333333333333,0.1177813416651571,4.735177865612648,0.1969535564306188,-133.07232947232947,25.44599020758177,local
sarsa_safe,validation,3,64,35,23,6,20.083854166666672,1.271347407123912,13.800000000000002,2.4619049752161592e-15,0.0,0.0,0.0,0.0,1.3802083333333333,0.1150420741270099,0.0,0.0,4.0,0.0,4.956521739130435,0.0,20.083854166666672,1.271347407123912,local
sarsa_safe,test,3,70,37,25,8,20.17142857142857,0.709087676760311,13.800000000000002,2.4619049752161592e-15,0.0,0.0,0.0,0.0,1.4476190476190478,0.0933333333333334,0.0,0.0,3.875,0.0,4.933333333333334,0.0522666666666667,20.17142857142857,0.709087676760311,local
rule_based,validation,3,64,35,23,6,20.260937500000004,1.6246410961828617,13.800000000000002,2.4619049752161592e-15,0.0,0.0,0.0,0.0,1.328125,0.1380957736802011,0.0,0.0,3.9444444444444446,0.1088888888888888,4.91304347826087,0.0852173913043476,20.260937500000004,1.6246410961828617,local
rule_based,test,3,70,37,25,8,20.4,0.2597870923147137,13.800000000000002,2.4619049752161592e-15,0.0,0.0,0.0,0.0,1.438095238095238,0.0246936789032694,0.0,0.0,3.875,0.0,4.96,0.0,20.4,0.2597870923147137,local
ppo_lstm_pure,validation,3,64,35,23,6,25.523958333333336,0.210944778681004,13.800000000000002,2.4619049752161592e-15,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,4.0,0.0,4.536231884057972,0.0568115942028982,25.523958333333336,0.210944778681004,local_reproducibility_bundle
ppo_lstm_pure,test,3,70,37,25,8,25.342857142857145,0.7065493613329503,13.800000000000002,2.4619049752161592e-15,0.0,0.0,0.0,0.0,1.0095238095238095,0.0406830568063796,0.0,0.0,3.875,0.0,3.866666666666667,0.3457115046457732,25.342857142857145,0.7065493613329503,local_reproducibility_bundle
