episode,algorithm,split,run_seed,event_group_id,origin_time_utc,danger_label,return,danger_tier,target_alert_level,missed_severe,false_warning,alert_changes,warning_step,watch_step,cancel_step,max_alert,invalid_actions,wave_imputed_flag
1,ppo_lstm_pure,validation,77,20150922005215,2015-09-21 17:40:00+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
2,ppo_lstm_pure,validation,77,20150924231022,2015-09-24 15:53:30+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
3,ppo_lstm_pure,validation,77,20151021045951,2015-10-20 21:52:01+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
4,ppo_lstm_pure,validation,77,20151026161931,2015-10-26 09:09:31+00:00,potential_threat,68.30000000000001,1,2,0,0,1,,0.0,,2,0,1
5,ppo_lstm_pure,validation,77,20151107145025,2015-11-07 07:31:41+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
6,ppo_lstm_pure,validation,77,20151119014040,2015-11-18 18:31:08+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
7,ppo_lstm_pure,validation,77,20151125060156,2015-11-24 22:45:13+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
8,ppo_lstm_pure,validation,77,20151125060739,2015-11-24 22:50:54+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
9,ppo_lstm_pure,validation,77,20151205053934,2015-12-04 22:24:55+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
10,ppo_lstm_pure,validation,77,20151209172659,2015-12-09 10:21:49+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
11,ppo_lstm_pure,validation,77,20160104061619,2016-01-03 23:05:23+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
12,ppo_lstm_pure,validation,77,20160114103823,2016-01-14 03:25:33+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
13,ppo_lstm_pure,validation,77,20160124174806,2016-01-24 10:30:30+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
14,ppo_lstm_pure,validation,77,20160130105145,2016-01-30 03:25:13+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
15,ppo_lstm_pure,validation,77,20160208232607,2016-02-08 16:19:16+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
16,ppo_lstm_pure,validation,77,20160212170946,2016-02-12 10:02:24+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
17,ppo_lstm_pure,validation,77,20160403153732,2016-04-03 08:23:52+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
18,ppo_lstm_pure,validation,77,20160406141123,2016-04-06 06:58:48+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
19,ppo_lstm_pure,validation,77,20160407104806,2016-04-07 03:33:00+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
20,ppo_lstm_pure,validation,77,20160415233917,2016-04-15 16:25:09+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
21,ppo_lstm_pure,validation,77,20160417071240,2016-04-16 23:58:36+00:00,potential_threat,68.30000000000001,1,2,0,0,1,,0.0,,2,0,1
22,ppo_lstm_pure,validation,77,20160417074830,2016-04-17 00:29:32+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
23,ppo_lstm_pure,validation,77,20160429024246,2016-04-28 19:33:30+00:00,potential_threat,28.299999999999997,1,2,0,0,1,,5.0,,2,0,1
24,ppo_lstm_pure,validation,77,202105140633,2021-05-14 06:33:07+00:00,confirmed_threat,101.80000000000001,2,4,0,0,2,3.0,1.0,,4,0,1
25,ppo_lstm_pure,validation,77,202111281052,2021-11-28 10:52:15+00:00,confirmed_threat,89.80000000000001,2,4,0,0,2,4.0,0.0,,4,0,1
26,ppo_lstm_pure,validation,77,202201140905,2022-01-14 09:05:39+00:00,confirmed_threat,89.80000000000001,2,4,0,0,2,4.0,2.0,,4,0,1
27,ppo_lstm_pure,validation,77,202203132109,2022-03-13 21:09:21+00:00,confirmed_threat,89.80000000000001,2,4,0,0,2,4.0,2.0,,4,0,1
28,ppo_lstm_pure,validation,77,202205102306,2022-05-10 23:06:25+00:00,confirmed_threat,77.80000000000001,2,4,0,0,2,5.0,4.0,,4,0,1
29,ppo_lstm_pure,validation,77,202205270236,2022-05-27 02:36:06+00:00,confirmed_threat,89.80000000000001,2,4,0,0,2,4.0,3.0,,4,0,1
30,ppo_lstm_pure,validation,77,202310161135,2023-10-16 11:35:31+00:00,no_threat,13.8,0,0,0,0,0,,,,0,0,1
31,ppo_lstm_pure,validation,77,202310311110,2023-10-31 11:10:50+00:00,no_threat,13.8,0,0,0,0,0,,,,0,0,1
32,ppo_lstm_pure,validation,77,202310311233,2023-10-31 12:33:41+00:00,no_threat,13.8,0,0,0,0,0,,,,0,0,1
33,ppo_lstm_pure,validation,77,202311080452,2023-11-08 04:52:53+00:00,no_threat,13.8,0,0,0,0,0,,,,0,0,1
