update,env_steps,policy_loss,value_loss,entropy,clip_fraction,recent_avg_return,recent_severe_miss_rate,recent_false_warning_rate,recent_avg_warning_step_on_severe,recent_avg_watch_step_on_potential,recent_safety_score,validation_avg_return,validation_severe_miss_rate,validation_false_warning_rate,validation_avg_warning_step_on_severe,validation_avg_watch_step_on_potential,validation_safety_score,device,artifact_prefix
1,256,-0.00945228268392384,4776.091400146484,0.8369326144456863,0.0888671875,-61.32499787807465,0.0,0.8888888888888888,5.4,3.8333333333333335,-105.7694423225191,,,,,,,cpu,ppo_lstm_seed77
2,512,-0.008843948133289814,659.591474533081,0.8470801487565041,0.0,-28.812498939037322,0.0,0.6666666666666666,5.461538461538462,4.333333333333333,-62.145832272370654,,,,,,,cpu,ppo_lstm_seed77
3,768,-0.0031738996040076017,3719.4588298797607,0.8578661680221558,0.0,-32.59062370657921,0.0,0.65,5.294117647058823,3.6538461538461537,-65.09062370657921,,,,,,,cpu,ppo_lstm_seed77
4,1024,-0.0006622211076319218,1363.918758392334,0.8479896262288094,0.0048828125,-26.46785607792082,0.0,0.6521739130434783,5.291666666666667,3.638888888888889,-59.076551730094735,,,,,,,cpu,ppo_lstm_seed77
5,1280,-0.0013294252566993237,4540.423679351807,0.8387631736695766,0.0029296875,-29.784998922348024,0.03225806451612903,0.6538461538461539,5.266666666666667,4.0476190476190474,-72.15472596949442,,,,,,,cpu,ppo_lstm_seed77
6,1536,-0.003783958964049816,2715.1390991210938,0.7792134322226048,0.015625,-27.639999437332154,0.04,0.4482758620689655,5.291666666666667,3.6,-62.05379254078043,,,,,,,cpu,ppo_lstm_seed77
7,1792,-0.00254121795296669,4435.839645385742,0.746504221111536,0.0146484375,-34.179999380111695,0.045454545454545456,0.5333333333333333,5.238095238095238,3.8085106382978724,-74.48302968314201,,,,,,,cpu,ppo_lstm_seed77
8,2048,-0.0070187002420425415,1087.1482977867126,0.7338618226349354,0.0458984375,-30.60499945640564,0.045454545454545456,0.5172413793103449,5.476190476190476,3.836734693877551,-70.10343205828651,,,,,,,cpu,ppo_lstm_seed77
9,2304,0.00039716705214232206,2116.126754760742,0.6934200786054134,0.0166015625,-19.909999356269836,0.0,0.42424242424242425,5.041666666666667,3.4186046511627906,-41.12212056839105,,,,,,,cpu,ppo_lstm_seed77
10,2560,0.012797769159078598,1537.2969398498535,0.7326885499060154,0.0908203125,-16.28999969959259,0.0,0.37142857142857144,4.857142857142857,3.2045454545454546,-34.86142827102117,,,,,,,cpu,ppo_lstm_seed77
